step 0: train loss 8.7256, val loss 8.7217
iter 1780: loss 0.9585, loss_a 0.9585, loss_b nan, time 1313.25ms, mfu 8.71%
iter 1790: loss 0.8658, loss_a 0.8658, loss_b nan, time 1313.72ms, mfu 8.71%
iter 1800: loss 0.9558, loss_a 0.9558, loss_b nan, time 1314.88ms, mfu 8.71%
iter 1810: loss 1.0138, loss_a 1.0138, loss_b nan, time 1313.25ms, mfu 8.72%
iter 1820: loss 0.8953, loss_a 0.8953, loss_b nan, time 1314.11ms, mfu 8.72%
iter 1830: loss 0.9900, loss_a 0.9900, loss_b nan, time 1313.58ms, mfu 8.72%
iter 1840: loss 0.8767, loss_a 0.8767, loss_b nan, time 1314.36ms, mfu 8.73%
iter 1850: loss 0.8566, loss_a 0.8566, loss_b nan, time 1313.13ms, mfu 8.73%
iter 1860: loss 0.8834, loss_a 0.8834, loss_b nan, time 1315.13ms, mfu 8.73%
iter 1870: loss 0.9271, loss_a 0.9271, loss_b nan, time 1313.43ms, mfu 8.73%
iter 1880: loss 0.8946, loss_a 0.8946, loss_b nan, time 1332.78ms, mfu 8.72%
iter 1890: loss 0.9375, loss_a 0.9375, loss_b nan, time 1316.66ms, mfu 8.72%
iter 1900: loss 0.9006, loss_a 0.9006, loss_b nan, time 1316.04ms, mfu 8.73%
iter 1910: loss 0.9295, loss_a 0.9295, loss_b nan, time 1318.44ms, mfu 8.73%
iter 1920: loss 0.9248, loss_a 0.9248, loss_b nan, time 1316.36ms, mfu 8.73%
iter 1930: loss 0.8734, loss_a 0.8734, loss_b nan, time 1317.59ms, mfu 8.73%
iter 1940: loss 0.8776, loss_a 0.8776, loss_b nan, time 1316.52ms, mfu 8.73%
iter 1950: loss 0.9572, loss_a 0.9572, loss_b nan, time 1315.78ms, mfu 8.73%
iter 1960: loss 0.8984, loss_a 0.8984, loss_b nan, time 1317.45ms, mfu 8.73%
iter 1970: loss 0.9351, loss_a 0.9351, loss_b nan, time 1315.21ms, mfu 8.73%
iter 1980: loss 0.8814, loss_a 0.8814, loss_b nan, time 1316.91ms, mfu 8.73%
iter 1990: loss 0.9088, loss_a 0.9088, loss_b nan, time 1316.74ms, mfu 8.73%
step 2000: train loss 0.9111, val loss 0.9426
saving checkpoint to out-enwik8-char-sparse
iter 2000: loss 0.9789, loss_a 0.9789, loss_b nan, time 45855.73ms, mfu 7.88%
iter 2010: loss 0.9416, loss_a 0.9416, loss_b nan, time 1315.12ms, mfu 7.97%
iter 2020: loss 0.9212, loss_a 0.9212, loss_b nan, time 1317.75ms, mfu 8.04%
iter 2030: loss 0.8804, loss_a 0.8804, loss_b nan, time 1315.22ms, mfu 8.11%
iter 2040: loss 0.9119, loss_a 0.9119, loss_b nan, time 1318.45ms, mfu 8.18%
iter 2050: loss 0.9029, loss_a 0.9029, loss_b nan, time 1314.37ms, mfu 8.23%
iter 2060: loss 0.9458, loss_a 0.9458, loss_b nan, time 1312.84ms, mfu 8.29%
iter 2070: loss 0.8622, loss_a 0.8622, loss_b nan, time 1313.63ms, mfu 8.33%
iter 2080: loss 0.8801, loss_a 0.8801, loss_b nan, time 1313.89ms, mfu 8.37%
iter 2090: loss 0.8813, loss_a 0.8813, loss_b nan, time 1314.72ms, mfu 8.41%
iter 2100: loss 0.9461, loss_a 0.9461, loss_b nan, time 1313.80ms, mfu 8.45%
iter 2110: loss 0.8557, loss_a 0.8557, loss_b nan, time 1314.27ms, mfu 8.48%
iter 2120: loss 0.8819, loss_a 0.8819, loss_b nan, time 1314.37ms, mfu 8.50%
